The sun is shining.	El sol esta brillando.
The night is clear.	La noche esta despejada.
We are planting a garden.	Estamos plantando un jardin.
She is making a cake.	Ella esta haciendo un pastel.
He is drawing a picture.	El esta dibujando un cuadro.
The room is quiet.	La habitacion esta silenciosa.
I am busy.	Estoy ocupado.
You are very polite.	Eres muy educado.
The food is salty.	La comida esta salada.
We are dancing.	Estamos bailando.
She is knitting a scarf.	Ella esta tejiendo una bufanda.
He is drinking coffee.	El esta bebiendo cafe.
The bird is singing.	El pajaro esta cantando.
I am learning French.	Estoy aprendiendo frances.
You are very strong.	Eres muy fuerte.
The music is loud.	La musica esta fuerte.
We are walking to the store.	Estamos caminando a la tienda.
She is brushing her hair.	Ella esta cepillandose el cabello.
He is playing guitar.	El esta tocando la guitarra.
The sky is blue.	El cielo esta azul.
I am writing an email.	Estoy escribiendo un correo electronico.
You are very curious.	Eres muy curioso.
The coffee is hot.	El cafe esta caliente.
We are visiting the museum.	Estamos visitando el museo.
She is reading a magazine.	Ella esta leyendo una revista.
He is fixing his bike.	El esta arreglando su bicicleta.
The road is empty.	La carretera esta vacia.
I am packing my bag.	Estoy empacando mi bolsa.
You are very cheerful.	Eres muy alegre.
The wind is strong.	El viento es fuerte.
We are having a picnic.	Estamos haciendo un picnic.
She is feeding the birds.	Ella esta alimentando a los pajaros.
He is climbing a tree.	El esta trepando un arbol.
The phone is ringing.	El telefono esta sonando.
I am learning to cook.	Estoy aprendiendo a cocinar.
You are very quick.	Eres muy rapido.
The mountain is tall.	La montana es alta.
We are building a house.	Estamos construyendo una casa.
She is talking on the phone.	Ella esta hablando por telefono.
He is looking for his keys.	El esta buscando sus llaves.
The stars are shining.	Las estrellas estan brillando.
I am listening to music.	Estoy escuchando musica.
You are very wise.	Eres muy sabio.
The city is busy.	La ciudad esta ocupada.
We are going on a trip.	Vamos de viaje.
She is doing yoga.	Ella esta haciendo yoga.
He is washing the car.	El esta lavando el coche.
The soup is hot.	La sopa esta caliente.
I am studying Spanish.	Estoy estudiando espanol.
You are very helpful.	Eres muy servicial.
The weather is nice.	El clima esta agradable.
We are watching a game.	Estamos viendo un juego.
She is buying groceries.	Ella esta comprando comestibles.
He is ironing his clothes.	El esta planchando su ropa.
The room is messy.	La habitacion esta desordenada.
I am calling my friend.	Estoy llamando a mi amigo.
You are very talented.	Eres muy talentoso.
The sky is clear.	El cielo esta despejado.
We are playing basketball.	Estamos jugando baloncesto.
She is baking cookies.	Ella esta horneando galletas.
He is mowing the lawn.	El esta cortando el cesped.
The river is calm.	El rio esta tranquilo.
I am drawing a picture.	Estoy dibujando un cuadro.
You are very kind.	Eres muy amable.
The food is ready.	La comida esta lista.
We are learning new things.	Estamos aprendiendo cosas nuevas.
She is gardening.	Ella esta jardineando.
He is playing soccer.	El esta jugando al futbol.
The book is interesting.	El libro es interesante.
I am doing my homework.	Estoy haciendo mi tarea.
You are very funny.	Eres muy divertido.
The coffee is cold.	El cafe esta frio.
We are taking a walk.	Estamos dando un paseo.
She is organizing her room.	Ella esta organizando su habitacion.
He is working late.	El esta trabajando hasta tarde.
The car is expensive.	El coche es caro.
I am feeling happy.	Me siento feliz.
You are very brave.	Eres muy valiente.
The food is delicious.	La comida esta deliciosa.
We are practicing piano.	Estamos practicando el piano.
She is feeding the fish.	Ella esta alimentando a los peces.
He is watching TV.	El esta viendo television.
The flowers are colorful.	Las flores son coloridas.
I am learning to draw.	Estoy aprendiendo a dibujar.
You are very patient.	Eres muy paciente.
The house is clean.	La casa esta limpia.
We are eating dessert.	Estamos comiendo postre.
She is writing a letter.	Ella esta escribiendo una carta.
He is fixing the computer.	El esta arreglando la computadora.
The garden is beautiful.	El jardin es hermoso.
I am feeling tired.	Me siento cansado.
You are very honest.	Eres muy honesto.
The food is too salty.	La comida esta demasiado salada.
We are watching a play.	Estamos viendo una obra de teatro.
She is singing a song.	Ella esta cantando una cancion.
He is playing chess.	El esta jugando ajedrez.
The sky is gray.	El cielo esta gris.
I am studying for a test.	Estoy estudiando para un examen.
You are very friendly.	Eres muy amigable.
The water is boiling.	El agua esta hirviendo.
We are going shopping.	Vamos de compras.
She is baking a cake.	Ella esta horneando un pastel.
He is reading a novel.	El esta leyendo una novela.
The road is icy.	La carretera esta helada.
I am feeling cold.	Tengo frio.
You are very polite.	Eres muy educado.
The park is peaceful.	El parque esta tranquilo.
We are painting the walls.	Estamos pintando las paredes.
She is brushing her teeth.	Ella esta cepillandose los dientes.
He is feeding the dog.	El esta alimentando al perro.
The sun is rising.	El sol esta saliendo.
I am writing a report.	Estoy escribiendo un informe.
You are very organized.	Eres muy organizado.
The food is bland.	La comida esta sosa.
We are cleaning the car.	Estamos limpiando el coche.
She is taking a shower.	Ella esta tomando una ducha.
He is making a sandwich.	El esta haciendo un sandwich.
The flowers are wilting.	Las flores se estan marchitando.
I am calling my mom.	Estoy llamando a mi mama.
You are very punctual.	Eres muy puntual.
The snow is melting.	La nieve se esta derritiendo.
We are having breakfast.	Estamos desayunando.
She is fixing her hair.	Ella esta arreglandose el cabello.
He is playing basketball.	El esta jugando baloncesto.
The river is flowing.	El rio esta fluyendo.
I am learning to swim.	Estoy aprendiendo a nadar.
You are very generous.	Eres muy generoso.
The house is big.	La casa es grande.
We are doing yoga.	Estamos haciendo yoga.
She is knitting a hat.	Ella esta tejiendo un gorro.
He is cooking dinner.	El esta cocinando la cena.
The sky is clear tonight.	El cielo esta despejado esta noche.
I am writing a journal.	Estoy escribiendo un diario.
You are very cheerful.	Eres muy alegre.
The water is refreshing.	El agua es refrescante.
We are having a meeting.	Estamos teniendo una reunion.
She is reading a story.	Ella esta leyendo una historia.
He is walking the dog.	El esta paseando al perro.
The food is sweet.	La comida es dulce.
I am feeling anxious.	Me siento ansioso.
You are very thoughtful.	Eres muy considerado.
The garden is overgrown.	El jardin esta descuidado.
We are playing cards.	Estamos jugando a las cartas.
She is learning to drive.	Ella esta aprendiendo a conducir.
He is watching a documentary.	El esta viendo un documental.
The soup is thick.	La sopa esta espesa.
I am feeling excited.	Me siento emocionado.
You are very kind.	Eres muy amable.
The book is boring.	El libro es aburrido.
We are planting flowers.	Estamos plantando flores.
She is organizing her desk.	Ella esta organizando su escritorio.
He is riding a bicycle.	El esta montando una bicicleta.
The car is new.	El coche es nuevo.
I am learning to knit.	Estoy aprendiendo a tejer.
You are very nice.	Eres muy simpatico.
The sky is dark.	El cielo esta oscuro.
We are watching a concert.	Estamos viendo un concierto.
She is cooking breakfast.	Ella esta cocinando el desayuno.
He is fixing the roof.	El esta arreglando el techo.
The river is deep.	El rio es profundo.
I am feeling grateful.	Me siento agradecido.
You are very creative.	Eres muy creativo.
The food is sour.	La comida esta agria.
We are cleaning the windows.	Estamos limpiando las ventanas.
She is feeding the baby.	Ella esta alimentando al bebe.
He is reading a newspaper.	El esta leyendo un periodico.
The flowers are fragrant.	Las flores son fragantes.
I am writing a blog post.	Estoy escribiendo una entrada de blog.
You are very diligent.	Eres muy diligente.
The sun is bright.	El sol es brillante.
We are having a barbecue.	Estamos haciendo una barbacoa.
She is singing beautifully.	Ella esta cantando hermosamente.
He is preparing for a trip.	El se esta preparando para un viaje.
The dog is wagging its tail.	El perro esta moviendo su cola.
I am learning to bake.	Estoy aprendiendo a hornear.
You are very charming.	Eres muy encantador.
The house is old.	La casa es vieja.
We are going for a walk.	Estamos yendo a dar un paseo.
She is knitting mittens.	Ella esta tejiendo mitones.
He is studying biology.	El esta estudiando biologia.
The sky is pink at dawn.	El cielo esta rosado al amanecer.
I am writing a poem.	Estoy escribiendo un poema.
You are very talented.	Eres muy talentoso.
The water is cold.	El agua esta fria.
We are eating dinner.	Estamos cenando.
She is cleaning her room.	Ella esta limpiando su habitacion.
He is making a smoothie.	El esta haciendo un batido.
The cat is purring.	El gato esta ronroneando.
I am feeling relaxed.	Me siento relajado.
You are very supportive.	Eres muy comprensivo.
The garden is lovely.	El jardin es encantador.
We are taking a break.	Estamos tomando un descanso.
She is baking bread.	Ella esta horneando pan.
He is writing a novel.	El esta escribiendo una novela.
The food is warm.	La comida esta tibia.
I am feeling calm.	Me siento tranquilo.
You are very enthusiastic.	Eres muy entusiasta.
The book is fascinating.	El libro es fascinante.
We are planning a trip.	Estamos planeando un viaje.
She is organizing a party.	Ella esta organizando una fiesta.
He is walking to work.	El esta caminando al trabajo.
The flowers are blooming.	Las flores estan floreciendo.
I am learning to dance.	Estoy aprendiendo a bailar.
You are very quick.	Eres muy rapido.
The dog is obedient.	El perro es obediente.
We are practicing Spanish.	Estamos practicando espanol.
She is feeding the fish.	Ella esta alimentando a los peces.
He is studying hard.	El esta estudiando mucho.
The room is bright.	La habitacion esta iluminada.
I am feeling refreshed.	Me siento renovado.
You are very understanding.	Eres muy comprensivo.
The water is clear.	El agua esta clara.
We are reading a book.	Estamos leyendo un libro.
She is making lunch.	Ella esta haciendo el almuerzo.
He is fixing the fence.	El esta arreglando la cerca.
The car is fast.	El coche es rapido.
I am feeling confident.	Me siento seguro.
You are very inspiring.	Eres muy inspirador.
The sky is overcast.	El cielo esta nublado.
We are visiting our grandparents.	Estamos visitando a nuestros abuelos.
She is gardening.	Ella esta jardineando.
He is cooking soup.	El esta cocinando sopa.
The sun is setting.	El sol se esta poniendo.
I am learning to play chess.	Estoy aprendiendo a jugar ajedrez.
You are very witty.	Eres muy ingenioso.
The food is fresh.	La comida esta fresca.
We are cleaning the garage.	Estamos limpiando el garaje.
She is practicing yoga.	Ella esta practicando yoga.
He is reading a magazine.	El esta leyendo una revista.
The cat is playful.	El gato es jugueton.
I am feeling energetic.	Me siento energetico.
You are very knowledgeable.	Eres muy sabio.
The garden is beautiful.	El jardin es hermoso.
We are playing a game.	Estamos jugando un juego.
She is fixing the computer.	Ella esta arreglando la computadora.
He is watching a play.	El esta viendo una obra de teatro.
The water is cold.	El agua esta fria.
I am feeling warm.	Me siento caliente.
You are very bright.	Eres muy brillante.
The book is captivating.	El libro es cautivador.
We are organizing a picnic.	Estamos organizando un picnic.
She is preparing a presentation.	Ella esta preparando una presentacion.
He is walking to the store.	El esta caminando a la tienda.
The flowers are colorful.	Las flores son coloridas.
I am learning to paint.	Estoy aprendiendo a pintar.
You are very humorous.	Eres muy gracioso.
The dog is loyal.	El perro es leal.
We are studying English.	Estamos estudiando ingles.
She is feeding the cat.	Ella esta alimentando al gato.
He is studying for his exam.	El esta estudiando para su examen.
The room is small.	La habitacion es pequena.
I am feeling joyful.	Me siento alegre.
You are very adventurous.	Eres muy aventurero.
The sky is cloudy.	El cielo esta nublado.
We are watching a movie.	Estamos viendo una pelicula.
She is making a salad.	Ella esta haciendo una ensalada.
He is learning to code.	El esta aprendiendo a programar.
The car is blue.	El coche es azul.
I am feeling satisfied.	Me siento satisfecho.
You are very modest.	Eres muy modesto.
The water is warm.	El agua esta tibia.
We are going to the park.	Vamos al parque.
She is brushing her teeth.	Ella esta cepillandose los dientes.
He is fixing the car.	El esta arreglando el coche.
The flowers are white.	Las flores son blancas.
I am calling my brother.	Estoy llamando a mi hermano.
You are very friendly.	Eres muy amigable.
The book is old.	El libro es viejo.
We are taking pictures.	Estamos tomando fotos.
She is cleaning the kitchen.	Ella esta limpiando la cocina.
He is playing the drums.	El esta tocando la bateria.
The room is spacious.	La habitacion es espaciosa.
I am feeling lucky.	Me siento afortunado.
You are very thoughtful.	Eres muy considerado.
The soup is hot.	La sopa esta caliente.
We are baking a cake.	Estamos horneando un pastel.
She is writing an essay.	Ella esta escribiendo un ensayo.
He is running in the park.	El esta corriendo en el parque.
The cat is sleeping.	El gato esta durmiendo.
I am feeling relaxed.	Me siento relajado.
You are very talented.	Eres muy talentoso.
The food is delicious.	La comida esta deliciosa.
We are watching TV.	Estamos viendo television.
She is practicing the piano.	Ella esta practicando el piano.
He is fixing the bicycle.	El esta arreglando la bicicleta.
The garden is peaceful.	El jardin es tranquilo.
I am learning to play piano.	Estoy aprendiendo a tocar el piano.
You are very attentive.	Eres muy atento.
The house is spacious.	La casa es espaciosa.
We are having a good time.	Estamos pasandola bien.
She is singing a beautiful song.	Ella esta cantando una cancion hermosa.
He is writing a book.	El esta escribiendo un libro.
The water is clean.	El agua esta limpia.
I am feeling tired.	Me siento cansado.
You are very supportive.	Eres muy comprensivo.
The sky is clear and blue.	El cielo esta despejado y azul.
We are learning French.	Estamos aprendiendo frances.
She is feeding the birds.	Ella esta alimentando a los pajaros.
He is painting the wall.	El esta pintando la pared.
The food is spicy.	La comida esta picante.
I am reading a magazine.	Estoy leyendo una revista.
You are very patient.	Eres muy paciente.
The car is fast.	El coche es rapido.
We are organizing a garage sale.	Estamos organizando una venta de garaje.
She is baking cookies.	Ella esta horneando galletas.
He is studying for his exams.	El esta estudiando para sus examenes.
The flowers are blooming.	Las flores estan floreciendo.
I am calling my friend.	Estoy llamando a mi amigo.
You are very creative.	Eres muy creativo.
The book is fascinating.	El libro es fascinante.
We are having a family reunion.	Estamos teniendo una reunion familiar.
She is gardening.	Ella esta jardineando.
He is learning to play the guitar.	El esta aprendiendo a tocar la guitarra.
The sky is bright.	El cielo esta brillante.
I am feeling calm.	Me siento tranquilo.
You are very diligent.	Eres muy diligente.
The water is refreshing.	El agua es refrescante.
We are going to the zoo.	Vamos al zoologico.
She is organizing a party.	Ella esta organizando una fiesta.
He is painting a picture.	El esta pintando un cuadro.
The food is sweet.	La comida es dulce.
I am writing a story.	Estoy escribiendo una historia.
You are very talented.	Eres muy talentoso.
The garden is blooming.	El jardin esta floreciendo.
We are having a barbecue.	Estamos haciendo una barbacoa.
She is studying chemistry.	Ella esta estudiando quimica.
He is playing tennis.	El esta jugando tenis.
The sky is clear tonight.	El cielo esta despejado esta noche.
I am reading a book.	Estoy leyendo un libro.
You are very kind.	Eres muy amable.
The car is old.	El coche es viejo.
We are planning a trip.	Estamos planeando un viaje.
She is feeding the baby.	Ella esta alimentando al bebe.
He is walking the dog.	El esta paseando al perro.
The water is calm.	El agua esta tranquila.
I am feeling happy.	Me siento feliz.
You are very polite.	Eres muy educado.
The book is interesting.	El libro es interesante.
We are cleaning the house.	Estamos limpiando la casa.
She is baking a cake.	Ella esta horneando un pastel.
He is fixing the computer.	El esta arreglando la computadora.
The flowers are beautiful.	Las flores son hermosas.
I am learning to cook.	Estoy aprendiendo a cocinar.
You are very understanding.	Eres muy comprensivo.
The car is red.	El coche es rojo.
We are playing chess.	Estamos jugando ajedrez.
She is brushing her hair.	Ella esta cepillandose el cabello.
He is preparing breakfast.	El esta preparando el desayuno.
The water is cold.	El agua esta fria.
I am feeling sleepy.	Me siento con sueno.
You are very organized.	Eres muy organizado.
The sky is clear.	El cielo esta despejado.
We are having dinner.	Estamos cenando.
She is painting a picture.	Ella esta pintando un cuadro.
He is doing his homework.	El esta haciendo su tarea.
The flowers are pink.	Las flores son rosas.
I am calling my dad.	Estoy llamando a mi papa.
You are very generous.	Eres muy generoso.
The food is too hot.	La comida esta demasiado caliente.
We are learning new skills.	Estamos aprendiendo nuevas habilidades.
She is feeding the ducks.	Ella esta alimentando a los patos.
He is fixing the sink.	El esta arreglando el fregadero.
The cat is curious.	El gato es curioso.
I am feeling great.	Me siento genial.
You are very helpful.	Eres muy servicial.
The house is quiet.	La casa esta tranquila.
We are planning a party.	Estamos planeando una fiesta.
She is reading a book.	Ella esta leyendo un libro.
He is washing the dishes.	El esta lavando los platos.
The flowers are yellow.	Las flores son amarillas.
I am writing an email.	Estoy escribiendo un correo electronico.
You are very friendly.	Eres muy amigable.
The sky is blue.	El cielo es azul.
We are watching a play.	Estamos viendo una obra de teatro.
She is cooking dinner.	Ella esta cocinando la cena.
He is studying history.	El esta estudiando historia.
The water is warm.	El agua esta tibia.
I am feeling excited.	Me siento emocionado.
You are very respectful.	Eres muy respetuoso.
The car is white.	El coche es blanco.
We are learning Spanish.	Estamos aprendiendo espanol.
She is making a sandwich.	Ella esta haciendo un sandwich.
He is walking to school.	El esta caminando a la escuela.
The flowers are fragrant.	Las flores son fragantes.
I am reading the news.	Estoy leyendo las noticias.
You are very intelligent.	Eres muy inteligente.
The sky is clear and sunny.	El cielo esta despejado y soleado.
We are baking cookies.	Estamos horneando galletas.
She is brushing her hair.	Ella esta cepillandose el cabello.
He is fixing the TV.	El esta arreglando la television.
The cat is purring.	El gato esta ronroneando.
I am feeling hungry.	Tengo hambre.
You are very thoughtful.	Eres muy considerado.
The water is cold.	El agua esta fria.
We are playing football.	Estamos jugando futbol.
She is organizing her closet.	Ella esta organizando su armario.
He is learning to swim.	El esta aprendiendo a nadar.
The flowers are blue.	Las flores son azules.
I am writing a poem.	Estoy escribiendo un poema.
You are very kind.	Eres muy amable.
The food is delicious.	La comida esta deliciosa.
We are studying for a test.	Estamos estudiando para un examen.
She is practicing the violin.	Ella esta practicando el violin.
He is preparing for an exam.	El esta preparandose para un examen.
The sky is gray.	El cielo esta gris.
I am feeling sleepy.	Me siento con sueno.
You are very responsible.	Eres muy responsable.
The car is yellow.	El coche es amarillo.
We are watching a game.	Estamos viendo un juego.
She is gardening.	Ella esta jardineando.
He is playing the piano.	El esta tocando el piano.
The flowers are white.	Las flores son blancas.
I am learning to draw.	Estoy aprendiendo a dibujar.
You are very funny.	Eres muy divertido.
The sky is bright.	El cielo esta brillante.
We are reading a story.	Estamos leyendo una historia.
She is baking bread.	Ella esta horneando pan.
He is washing his car.	El esta lavando su coche.
The water is clear.	El agua esta clara.
I am feeling happy.	Me siento feliz.
You are very hardworking.	Eres muy trabajador.
The book is heavy.	El libro es pesado.
We are watching a movie.	Estamos viendo una pelicula.
She is knitting a scarf.	Ella esta tejiendo una bufanda.
He is studying physics.	El esta estudiando fisica.
The flowers are purple.	Las flores son moradas.
I am calling my sister.	Estoy llamando a mi hermana.
You are very generous.	Eres muy generoso.
The sky is blue.	El cielo esta azul.
We are cleaning the house.	Estamos limpiando la casa.
She is painting a mural.	Ella esta pintando un mural.
He is playing the guitar.	El esta tocando la guitarra.
The food is hot.	La comida esta caliente.
I am reading a novel.	Estoy leyendo una novela.
You are very clever.	Eres muy listo.
The car is fast.	El coche es rapido.
We are learning French.	Estamos aprendiendo frances.
She is brushing her teeth.	Ella esta cepillandose los dientes.
He is feeding the birds.	El esta alimentando a los pajaros.
The flowers are blooming.	Las flores estan floreciendo.
I am writing a letter.	Estoy escribiendo una carta.
You are very charming.	Eres muy encantador.
The water is cold.	El agua esta fria.
We are organizing a trip.	Estamos organizando un viaje.
She is baking a pie.	Ella esta horneando un pastel.
He is studying for a test.	El esta estudiando para un examen.
The sky is dark.	El cielo esta oscuro.
I am feeling relaxed.	Me siento relajado.
You are very brave.	Eres muy valiente.
The food is salty.	La comida esta salada.
We are cleaning the garage.	Estamos limpiando el garaje.
She is knitting a sweater.	Ella esta tejiendo un sueter.
He is playing chess.	El esta jugando ajedrez.
The flowers are pink.	Las flores son rosas.
I am calling my mom.	Estoy llamando a mi mama.
You are very honest.	Eres muy honesto.
The book is new.	El libro es nuevo.
We are taking a walk.	Estamos dando un paseo.
She is brushing her dog's fur.	Ella esta cepillando el pelaje de su perro.
He is preparing dinner.	El esta preparando la cena.
The food is warm.	La comida esta tibia.
I am feeling cold.	Tengo frio.
You are very cheerful.	Eres muy alegre.
The sky is blue and clear.	El cielo esta azul y despejado.
We are planning a barbecue.	Estamos planeando una barbacoa.
She is reading a novel.	Ella esta leyendo una novela.
He is feeding the baby.	El esta alimentando al bebe.
The car is expensive.	El coche es caro.
I am learning to cook.	Estoy aprendiendo a cocinar.
You are very punctual.	Eres muy puntual.
The flowers are fragrant.	Las flores son fragantes.
We are watching a show.	Estamos viendo un espectaculo.
She is making a cake.	Ella esta haciendo un pastel.
He is studying chemistry.	El esta estudiando quimica.
The room is cozy.	La habitacion es acogedora.
I am calling my dad.	Estoy llamando a mi papa.
You are very talented.	Eres muy talentoso.
The food is spicy.	La comida esta picante.
We are cleaning the kitchen.	Estamos limpiando la cocina.
She is organizing her books.	Ella esta organizando sus libros.
He is playing the flute.	El esta tocando la flauta.
The flowers are red.	Las flores son rojas.
I am feeling warm.	Me siento caliente.
You are very thoughtful.	Eres muy considerado.
The book is interesting.	El libro es interesante.
We are learning English.	Estamos aprendiendo ingles.
She is brushing her hair.	Ella esta cepillandose el cabello.
He is fixing the car.	El esta arreglando el coche.
The water is clear.	El agua esta clara.
I am writing a poem.	Estoy escribiendo un poema.
You are very creative.	Eres muy creativo.
The car is new.	El coche es nuevo.
We are baking cookies.	Estamos horneando galletas.
She is knitting a scarf.	Ella esta tejiendo una bufanda.
He is playing the piano.	El esta tocando el piano.
The flowers are beautiful.	Las flores son hermosas.
I am learning to swim.	Estoy aprendiendo a nadar.
You are very helpful.	Eres muy servicial.
The sky is clear.	El cielo esta despejado.
We are watching a movie.	Estamos viendo una pelicula.
She is making lunch.	Ella esta haciendo el almuerzo.
He is fixing the bike.	El esta arreglando la bicicleta.
The food is sweet.	La comida esta dulce.
I am feeling excited.	Me siento emocionado.
You are very patient.	Eres muy paciente.
The water is warm.	El agua esta tibia.
We are playing a game.	Estamos jugando un juego.
She is cleaning her room.	Ella esta limpiando su habitacion.
He is walking to work.	El esta caminando al trabajo.
The flowers are colorful.	Las flores son coloridas.
I am writing a story.	Estoy escribiendo una historia.
You are very polite.	Eres muy educado.
The car is fast.	El coche es rapido.
We are learning Spanish.	Estamos aprendiendo espanol.
She is brushing her teeth.	Ella esta cepillandose los dientes.
He is feeding the dog.	El esta alimentando al perro.
The sky is blue.	El cielo esta azul.
I am feeling grateful.	Me siento agradecido.
You are very kind.	Eres muy amable.
The food is delicious.	La comida esta deliciosa.
We are cleaning the house.	Estamos limpiando la casa.
She is organizing her desk.	Ella esta organizando su escritorio.
He is playing the drums.	El esta tocando la bateria.
The flowers are white.	Las flores son blancas.
I am learning to cook.	Estoy aprendiendo a cocinar.
You are very supportive.	Eres muy comprensivo.
The book is heavy.	El libro es pesado.
We are watching a play.	Estamos viendo una obra de teatro.
She is knitting a sweater.	Ella esta tejiendo un sueter.
He is studying biology.	El esta estudiando biologia.
The flowers are purple.	Las flores son moradas.
I am calling my sister.	Estoy llamando a mi hermana.
You are very generous.	Eres muy generoso.
The sky is blue.	El cielo esta azul.
We are cleaning the house.	Estamos limpiando la casa.
She is painting a mural.	Ella esta pintando un mural.
He is playing the guitar.	El esta tocando la guitarra.
The food is hot.	La comida esta caliente.
I am reading a novel.	Estoy leyendo una novela.
You are very clever.	Eres muy listo.
The car is fast.	El coche es rapido.
We are learning French.	Estamos aprendiendo frances.
She is brushing her teeth.	Ella esta cepillandose los dientes.
He is feeding the birds.	El esta alimentando a los pajaros.
The flowers are blooming.	Las flores estan floreciendo.
I am writing a letter.	Estoy escribiendo una carta.
You are very charming.	Eres muy encantador.
The water is cold.	El agua esta fria.
We are organizing a trip.	Estamos organizando un viaje.
She is baking a pie.	Ella esta horneando un pastel.
He is studying for a test.	El esta estudiando para un examen.
The sky is dark.	El cielo esta oscuro.
I am feeling relaxed.	Me siento relajado.
You are very brave.	Eres muy valiente.
The food is salty.	La comida esta salada.
We are cleaning the garage.	Estamos limpiando el garaje.
She is knitting a sweater.	Ella esta tejiendo un sueter.
He is playing chess.	El esta jugando ajedrez.
The flowers are pink.	Las flores son rosas.
I am calling my mom.	Estoy llamando a mi mama.
You are very honest.	Eres muy honesto.
The book is new.	El libro es nuevo.
We are taking a walk.	Estamos dando un paseo.
She is brushing her dog's fur.	Ella esta cepillando el pelaje de su perro.
He is preparing dinner.	El esta preparando la cena.
The food is warm.	La comida esta tibia.
I am feeling cold.	Tengo frio.
You are very cheerful.	Eres muy alegre.
The sky is blue and clear.	El cielo esta azul y despejado.
We are planning a barbecue.	Estamos planeando una barbacoa.
She is reading a novel.	Ella esta leyendo una novela.
He is feeding the baby.	El esta alimentando al bebe.
The car is expensive.	El coche es caro.
I am learning to cook.	Estoy aprendiendo a cocinar.
You are very punctual.	Eres muy puntual.
The flowers are fragrant.	Las flores son fragantes.
We are watching a show.	Estamos viendo un espectaculo.
She is making a cake.	Ella esta haciendo un pastel.
He is studying chemistry.	El esta estudiando quimica.
The room is cozy.	La habitacion es acogedora.
I am calling my dad.	Estoy llamando a mi papa.
You are very talented.	Eres muy talentoso.
The food is spicy.	La comida esta picante.
We are cleaning the kitchen.	Estamos limpiando la cocina.
She is organizing her books.	Ella esta organizando sus libros.
He is playing the flute.	El esta tocando la flauta.
The flowers are red.	Las flores son rojas.
I am feeling warm.	Me siento caliente.
You are very thoughtful.	Eres muy considerado.
The book is interesting.	El libro es interesante.
We are learning English.	Estamos aprendiendo ingles.
She is brushing her hair.	Ella esta cepillandose el cabello.
He is fixing the car.	El esta arreglando el coche.
The water is clear.	El agua esta clara.
I am writing a poem.	Estoy escribiendo un poema.
You are very creative.	Eres muy creativo.
The car is new.	El coche es nuevo.
We are baking cookies.	Estamos horneando galletas.
She is knitting a scarf.	Ella esta tejiendo una bufanda.
He is playing the piano.	El esta tocando el piano.
The flowers are beautiful.	Las flores son hermosas.
I am learning to swim.	Estoy aprendiendo a nadar.
You are very helpful.	Eres muy servicial.
The sky is clear.	El cielo esta despejado.
We are watching a movie.	Estamos viendo una pelicula.
She is making lunch.	Ella esta haciendo el almuerzo.
He is fixing the bike.	El esta arreglando la bicicleta.
The food is sweet.	La comida esta dulce.
I am feeling excited.	Me siento emocionado.
You are very patient.	Eres muy paciente.
The water is warm.	El agua esta tibia.
We are playing a game.	Estamos jugando un juego.
She is cleaning her room.	Ella esta limpiando su habitacion.
He is walking to work.	El esta caminando al trabajo.
The flowers are colorful.	Las flores son coloridas.
I am writing a story.	Estoy escribiendo una historia.
You are very polite.	Eres muy educado.
The car is fast.	El coche es rapido.
We are learning Spanish.	Estamos aprendiendo espanol.
She is brushing her teeth.	Ella esta cepillandose los dientes.
He is feeding the dog.	El esta alimentando al perro.
The sky is blue.	El cielo esta azul.
I am feeling grateful.	Me siento agradecido.
You are very kind.	Eres muy amable.
The food is delicious.	La comida esta deliciosa.
We are cleaning the house.	Estamos limpiando la casa.
She is organizing her desk.	Ella esta organizando su escritorio.
He is playing the drums.	El esta tocando la bateria.
The flowers are white.	Las flores son blancas.
I am learning to cook.	Estoy aprendiendo a cocinar.
You are very supportive.	Eres muy comprensivo.
The book is heavy.	El libro es pesado.
We are watching a play.	Estamos viendo una obra de teatro.
She is knitting a sweater.	Ella esta tejiendo un sueter.
He is studying biology.	El esta estudiando biologia.
The flowers are purple.	Las flores son moradas.
I am calling my sister.	Estoy llamando a mi hermana.
You are very generous.	Eres muy generoso.
The sky is blue.	El cielo esta azul.
We are cleaning the house.	Estamos limpiando la casa.
She is painting a mural.	Ella esta pintando un mural.
He is playing the guitar.	El esta tocando la guitarra.
The food is hot.	La comida esta caliente.
I am reading a novel.	Estoy leyendo una novela.
You are very clever.	Eres muy listo.
The car is fast.	El coche es rapido.
We are learning French.	Estamos aprendiendo frances.
She is brushing her teeth.	Ella esta cepillandose los dientes.
He is feeding the birds.	El esta alimentando a los pajaros.
The flowers are blooming.	Las flores estan floreciendo.
I am writing a letter.	Estoy escribiendo una carta.
You are very charming.	Eres muy encantador.
The water is cold.	El agua esta fria.
We are organizing a trip.	Estamos organizando un viaje.
She is baking a pie.	Ella esta horneando un pastel.
He is studying for a test.	El esta estudiando para un examen.
The sky is dark.	El cielo esta oscuro.
I am feeling relaxed.	Me siento relajado.
You are very brave.	Eres muy valiente.
The food is salty.	La comida esta salada.
We are cleaning the garage.	Estamos limpiando el garaje.
She is knitting a sweater.	Ella esta tejiendo un sueter.
He is playing chess.	El esta jugando ajedrez.
The flowers are pink.	Las flores son rosas.
I am calling my mom.	Estoy llamando a mi mama.
You are very honest.	Eres muy honesto.
The book is new.	El libro es nuevo.
We are taking a walk.	Estamos dando un paseo.
She is brushing her dog's fur.	Ella esta cepillando el pelaje de su perro.
